FilePath,Type,Height
data/Tree/3point8Tree.laz,Tree,3.8
data/Tree/3point9JP.laz,Tree,3.9
data/Tree/5point3UnderstoryTree.laz,Tree,5.3
data/Tree/6mTallUnderstoryJP.laz,Tree,6
data/Tree/7point15mTree.laz,Tree,7.15
data/Tree/8point05mTree.laz,Tree,8.05
data/Tree/9point9mTree.laz,Tree,9.9
data/Tree/9point75mTree.laz,Tree,9.75
data/Tree/10point95mTree.laz,Tree,10.95
data/Tree/11point75mTree.laz,Tree,11.75
data/Tree/13point7mTree.laz,Tree,13.7
data/Tree/14mJP.laz,Tree,14
data/Tree/14point8mJP.laz,Tree,14.8
data/Tree/15mJP.laz,Tree,15
data/Tree/16point6mJP.laz,Tree,16.6
data/Tree/17point45mJP.laz,Tree,17.45
data/Tree/18point35mJP.laz,Tree,18.35
data/Tree/19point45mJP.laz,Tree,19.45
data/Tree/21point4TallJP.laz,Tree,21.4
data/Tree/21point45mTallJackPine.laz,Tree,21.45
data/Snag/2mTallSnag.laz,Snag,2
data/Snag/4mTallStem.laz,Snag,4
data/Snag/4point85mTallStem.laz,Snag,4.85
data/Snag/6point9TallSnag.laz,Snag,6.9
data/Snag/9mTallDeadJPStem.laz,Snag,9
data/Snag/9point5mTallJPSnag.laz,Snag,9.5
data/Snag/10mTallJPSnag.laz,Snag,10
data/Snag/13point35TallJPSnag.laz,Snag,13.35
data/Snag/15point6JPSnag.laz,Snag,15.6
data/Snag/16point05JPSnag.laz,Snag,16.05
data/Understory/2point3mRegen.laz,Understory,2.3
data/Understory/2point9mRegen.laz,Understory,2.9
data/Understory/2point35mRegen.laz,Understory,2.35
